name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
petit zinc,vodka,1 oz,vodka,1/2 oz,triple sec,1/2 oz,sweet vermouth,1/2 oz,orange juice,orange wedge,,,,cocktail glass
sherry flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 1/2 oz,cream sherry,2 oz,light cream (if desired),,,,,sour glass
sherry-and-egg cocktail,cocktail classics,1 egg,,2 oz,cream sherry,,,,,,,,,cocktail glass
americana,whiskies,1 oz,tennessee whiskey,1/2 oz,simple syrup,2 oz,angostura bitters,,chilled american sparkling wine,peach slice,,,,collins glass
allegheny,whiskies,1 oz,bourbon whiskey,1 oz,dry vermouth,1/2 oz,blackberry-flavored brandy,1/2 oz,fresh lemon juice,lemon twist,,,,cocktail glass
sevilla cocktail,cocktail classics,1/2 oz,powdered sugar,1 oz,whole egg,1 oz,port,1 oz,light rum,,,,,sour glass
september morn cocktail,cocktail classics,1 oz,egg white,1 oz,light rum,1/2 oz,juice of a lime,1 oz,grenadine,,,,,cocktail glass
peach iced tea,vodka,1 1/2 oz,peach-flavored vodka,1/2 oz,orange curacao,3/4 oz,fresh lemon juice,1/2 oz,honey syrup,2 oz,iced tea,,"peach slice, lemon wheel",collins glass
fantasio cocktail,brandy,1 oz,brandy,3/4 oz,dry vermouth,1 oz,white creme de menthe,1 oz,maraschino liqueur,,,,,cocktail glass
scotch bird flyer,cocktail classics,1 1/2 oz,scotch,1 oz,egg yolk,1/2 oz,triple sec,1/2 oz,powdered sugar,1 oz,light cream,,,champagne flute
algonquin,whiskies,1 1/2 oz,straight rye whiskey,1 oz,dry vermouth,1 oz,pineapple juice,,,,,,,cocktail glass
savannah,cocktail classics,1/2 oz,juice of orange,1 oz,gin,1 oz,white creme de cacao,1 oz,egg white,,,,,cocktail glass
pink rose fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,egg white,2 oz,light cream,2 oz,gin,,,highball glass
ninotchka cocktail,vodka,1 1/2 oz,vodka,1/2 oz,white creme de cacao,1/4 oz,fresh lemon juice,,,,,,,cocktail glass
prairie oyster,cocktail classics,1 oz,brandy,1 oz,worcestershire sauce,1 oz,catsup,1 oz,vinegar,1 oz,pepper,,,old-fashioned glass
prairie chicken,cocktail classics,1 oz,gin,1 oz,whole egg,,pepper and salt,,,,,,,red-wine glass
pousse l'amour,cocktail classics,1 oz,maraschino,1 oz,egg yolk,1/2 oz,benedictine,1/2 oz,brandy,,,,,sherry glass
puerto apple,cocktail classics,1 1/2 oz,applejack,3/4 oz,light rum,1 oz,lime juice,1 oz,orgeat syrup,,,,,old-fashioned glass
akogare,whiskies,1 1/2 oz,straight rye whiskey,3/4 oz,ginger syrup,3/4 oz,"cold brewed black tea, preferably japanese",3/4 oz,fresh lemon juice,orange twist,,,,cocktail glass
prado,cocktail classics,1 1/2 oz,tequila,3/4 oz,lemon juice,1 oz,maraschino,1/2 oz,egg white,1 oz,grenadine,,,sour glass
port wine flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 1/2 oz,port,2 oz,light cream (if desired),,,,,sour glass
port wine cobbler,cocktail classics,1 tsp,powdered sugar,2 oz,carbonated water,,shaved ice,3 oz,port,fruits in season,,,,red-wine glass
nijinksy blini,vodka,1 oz,vodka,1 oz,peach schnapps,1 oz,peach puree,1/4 oz,fresh lemon juice,chilled champagne,,,,champagne flute
affinity cocktail (whisky),whiskies,1 oz,blended scotch whiskey,1 oz,dry vermouth,1 oz,sweet vermouth,3 oz,orange bitters,,,,,cocktail glass
plain vermouth cocktail,cocktail classics,1 oz,dry vermouth,1 oz,sweet vermouth,1 oz,orange bitters,,,,,,,cocktail glass
ping-pong cocktail,cocktail classics,1/4 oz,juice of a lemon,1 oz,egg white,2 oz,sloe gin,,,,,,,cocktail glass
moscow mule,vodka,1 1/2 oz,vodka,1/2 oz,fresh lime juice,,ginger beer,,lime wedge,,,,,beer mug
phoebe snow,cocktail classics,1 1/2 oz,dubonnet,1 1/2 oz,brandy,1/2 oz,anis,,,,,,,cocktail glass
affinity cocktail,whiskies,2 oz,straight rye whiskey,3/4 oz,maraschino liqueur,3/4 oz,fresh lemon juice,2 oz,orange bitters,"orange twist, flamed",,,,cocktail glass
peggy cocktail,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,1/4 oz,anis,1/4 oz,dubonnet,,,,,cocktail glass
peach blow fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,light cream,2 oz,gin,1/4 oz,peach,,,highball glass
peach blossom,cocktail classics,1 oz,lemon juice,1/2 oz,powdered sugar,2 oz,gin,1/2 oz,peach,,,,,highball glass
passion mimosa,cocktail classics,2 oz,chilled passion fruit juice,,chilled champagne,,,,,,,,,champagne flute
mocha express,vodka,1 1/2 oz,vodka,3/4 oz,irish cream liqueur,3/4 oz,coffee liqueur,3/4 oz,cold brewed espresso coffee,,,,,cocktail glass
palmer cocktail,cocktail classics,2 oz,blended whiskey,1 oz,bitters,1/2 oz,lemon juice,,,,,,,cocktail glass
mr. 404,vodka,1 1/2 oz,vodka,3/4 oz,elderflower liqueur,3/4 oz,fresh lemon juice,1/2 oz,simple syrup,1/2 oz,aperol,,orange twist,cocktail glass
mountain cocktail,cocktail classics,1 oz,egg white,1/4 oz,lemon juice,1/4 oz,dry vermouth,1/4 oz,sweet vermouth,1 1/2 oz,blended whiskey,,,cocktail glass
morning glory fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,egg white,1/2 oz,anis,2 oz,scotch,,,highball glass
adderly cocktail,whiskies,2 oz,straight rye whiskey,3/4 oz,maraschino liqueur,2 oz,orange bitters,3/4 oz,fresh lemon juice,"orange twist, flamed",,,,cocktail glass
fancy brandy,brandy,2 oz,brandy,1/4 oz,triple sec,1/4 oz,simple syrup,1 oz,angostura bitters,lemon twist,,,,cocktail glass
montreal gin sour,cocktail classics,1 oz,gin,1 oz,lemon juice,1/2 oz,egg white,1 oz,powdered sugar,,,,,sour glass
montezuma,cocktail classics,1 1/2 oz,tequila,1 oz,madeira,1 oz,egg yolk,1/2 oz,crushed ice,,,,,champagne flute
miss jones,vodka,1 1/2 oz,vanilla-flavored vodka,1 oz,fresh lemon juice,1/2 oz,butterscotch schnapps,1/2 oz,limoncello,star anise pod,,,,cocktail glass
mint gin cocktail,cocktail classics,1 oz,mint-flavored gin,1 oz,white port wine,1 1/2 oz,dry vermouth,,,,,,,cocktail glass
mint collins,cocktail classics,1/2 oz,juice of a lemon,2 oz,mint-flavored gin,,,,,,,,,collins glass
million-dollar cocktail,cocktail classics,2 oz,pineapple juice,1 oz,grenadine,1 oz,egg white,3/4 oz,sweet vermouth,1 1/2 oz,gin,,,cocktail glass
millionaire cocktail,cocktail classics,1 oz,egg white,1/4 oz,grenadine,1/2 oz,triple sec,1 1/2 oz,blended whiskey,,,,,cocktail glass
academic review,whiskies,1 1/2 oz,irish whiskey,1/2 oz,applejack,1/2 oz,amaro nonino,1/2 oz,rye whiskey,1/4 oz,demerara syrup,2 oz,mole bitters 1 oz,old-fashioned glass
milk punch,cocktail classics,1 oz,powdered sugar,2 oz,blended whiskey,1 oz,milk,,,,,,,collins glass
merry widow fizz,cocktail classics,1/2 oz,juice of orange,1/2 oz,juice of a lemon,1 oz,egg white,1 oz,powdered sugar,1 1/2 oz,sloe gin,,,highball glass
may blossom fizz,cocktail classics,1 oz,grenadine,1/2 oz,juice of a lemon,2 oz,swedish punch,,,,,,,highball glass
mary garden cocktail,cocktail classics,1 1/2 oz,dubonnet,3/4 oz,dry vermouth,,,,,,,,,cocktail glass
19th century,whiskies,1 1/2 oz,bourbon whiskey,3/4 oz,fresh lemon juice,3/4 oz,white creme de cacao,3/4 oz,lillet rouge,,,,,cocktail glass
manila fizz,cocktail classics,2 oz,gin,1 oz,whole egg,1 oz,powdered sugar,2 oz,root beer,1/2 oz,juice of a lime,,,highball glass
1626,whiskies,2 1/2 oz,bourbon whiskey,3/4 oz,gingerbread liqueur,1/2 oz,cherry-flavored brandy,2 oz,angostura bitters,1 oz,italian preserved cherry,,,cocktail glass
maracuya mosquito,vodka,4 oz,fresh basil leaves,1 1/2 oz,vodka,1/2 oz,green chartreuse,1/2 oz,fresh lime juice,1/2 oz,simple syrup,1 oz,"passion fruit juice, basil leaf",collins glass
madras,vodka,1 1/2 oz,vodka,4 oz,cranberry juice,1 oz,orange juice,,lime wedge,,,,,highball glass
absinthe cocktail,cocktail classics,1 1/2 oz,absinthe substitute,2 oz,water,1 1/2 oz,old mr. boston anisette,1 oz,orange bitters,,,,,cocktail glass
lychee lucy,vodka,1 1/2 oz,vodka,1/2 oz,lychee liqueur,1/2 oz,fresh orange juice,1/2 oz,pineapple juice,2 oz,angostura bitters,,canned pitted lychee nut stuffed with a small pineapple leaf,cocktail glass
vodka martini,cocktail classics,1 1/2 oz,mr. boston vodka,3/4 oz,dry vermouth,,,,,,,,,
the loop,vodka,2 oz,black cherry-flavored vodka,1/2 oz,white creme de cacao,1/2 oz,chile syrup,,grated bittersweet chocolate,,,,,old-fashioned glass
long island iced tea,vodka,3/4 oz,vodka,3/4 oz,blanco tequila,3/4 oz,gin,3/4 oz,light rum,3/4 oz,triple sec,1/2 oz,"simple syrup, 1/2 oz",highball glass
fallen leaves,brandy,3/4 oz,calvados,3/4 oz,sweet vermouth,1/4 oz,dry vermouth,1 oz,brandy,lemon twist,,,,cocktail glass
l'italienne,vodka,2 oz,vodka,1/4 oz,lillet blanc,1/4 oz,ramazzotti amaro,1 oz,orange bitters,,,,,cocktail glass
rum dubonnet,cocktail classics,1 1/2 oz,light rum,1 1/2 oz,dubonnet,1 oz,lemon juice,,,,,,,cocktail glass
ruby fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,egg white,1 oz,grenadine,2 oz,sloe gin,,,highball glass
limoncello manzanilla marmalade sour,vodka,1 1/2 oz,citrus-flavored vodka,3/4 oz,limoncello,3/4 oz,manzanilla sherry,3/4 oz,fresh lemon juice,1 oz,grapefruit marmalade,,orange twist,cocktail glass
royal purple punch,cocktail classics,2 bottles,red wine,,ginger ale,,lemon,,whole cloves,,,,,punch cup
royal gin fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,2 oz,gin,1 oz,whole egg,,,,,highball glass
royal cocktail,cocktail classics,1 oz,whole egg,1/2 oz,juice of a lemon,1/2 oz,powdered sugar,1 1/2 oz,gin,,,,,sour glass
royal clover club cocktail,cocktail classics,1 oz,juice of a lime,1 oz,grenadine,1 oz,egg yolk,1 1/2 oz,gin,,,,,sour glass
lights on the plaza,vodka,2,"cucumber slices, chopped",1/2 oz,fresh lemon juice,1/2 oz,simple syrup,1 1/2 oz,acai berry flavored vodka,1/2 oz,black raspberry liqueur,1 oz,"sparkling wine, raspberry and cucumber",cocktail glass
rococo,cocktail classics,1 oz,cherry vodka,1 oz,orange juice,1/2 oz,triple sec,,,,,,,cocktail glass
rock & rye cooler,cocktail classics,1 oz,rock and rye,1 1/2 oz,vodka,1 oz,lime juice,,bitter lemon soda,,,,,collins glass
rock & rye cocktail,cocktail classics,1 oz,rock and rye,1 oz,white port wine,1 1/2 oz,dry vermouth,,,,,,,cocktail glass
le paradini,vodka,1 1/2 oz,vodka,1/2 oz,raspberry-flavored liqueur,1/2 oz,grand marnier,1 oz,chilled champagne,,,,,cocktail glass
red swizzle,cocktail classics,1 oz,juice of a lime,1 oz,powdered sugar,2 oz,carbonated water,2 oz,gin,2 oz,bitters,1 oz,grenadine,collins glass
lemon drop,vodka,for glass,"lemon wedge, superfine sugar",1 1/2 oz,lemon-flavored vodka,3/4 oz,fresh lemon juice,1/4 oz,simple syrup,lemon wedge,,,,cocktail glass
rebel charge,cocktail classics,1 oz,bourbon,1/2 oz,triple sec,1 oz,orange juice,1 oz,lemon juice,1/2 oz,egg white,,,old-fashioned glass
rattlesnake cocktail,cocktail classics,1 1/2 oz,blended whiskey,1 oz,egg white,1 oz,lemon juice,1/2 oz,powdered sugar,1/4 oz,anis,,,cocktail glass
ramos fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,egg white,1 oz,powdered sugar,2 oz,gin,1 oz,light cream,1/2 oz,triple sec,highball glass
san francisco,cocktail classics,3/4 oz,sloe gin,3/4 oz,sweet vermouth,3/4 oz,dry vermouth,1 oz,bitters,1 oz,orange bitters,,,cocktail glass
sand-martini cocktail,cocktail classics,1 oz,green chartreuse,1 1/2 oz,sweet vermouth,1 1/2 oz,gin,,,,,1 oz,sake,cocktail glass
sake martini (sakini),cocktail classics,1 oz,sake,3 oz,gin,,,,,,,,,cocktail glass
lemon crush,vodka,for glass,"lemon wedge, superfine sugar",1 1/2 oz,citrus-flavored vodka,1/2 oz,crema di limoncello,1/2 oz,triple sec,1 oz,fresh lemon juice,,,cocktail glass
rye whiskey cocktail,cocktail classics,1 oz,bitters,1 oz,powdered sugar,2 oz,rye whiskey,,,,,,,cocktail glass
leaves of grass,vodka,1 1/2 oz,aquavit,1/2 oz,old tom gin,1/2 oz,demerara syrup,2 oz,orange bitters,1 oz,absinthe,,celery stick,old-fashioned glass
widow's dream,cocktail classics,1 1/2 oz,benedictine,1 oz,whole egg,,,,,,,,,cocktail glass
whiskey flip,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,1 oz,blended whiskey,2 oz,light cream (if desired),,,,,sour glass
l.a. sunrise,vodka,1 oz,vodka,1 oz,creme de banana,2 oz,fresh orange juice,2 oz,pineapple juice,1/4 oz,dark rum,,"lime wheel, maraschino cherry",hurricane glass
white rose cocktail,cocktail classics,3/4 oz,gin,1 oz,orange juice,1 oz,juice of a lime,1/2 oz,maraschino,1 oz,egg white,,,cocktail glass
white plush,cocktail classics,2 oz,blended whiskey,1 oz,milk,1 oz,powdered sugar,,,,,,,collins glass
white elephant,cocktail classics,1 1/2 oz,gin,1 oz,sweet vermouth,1 oz,egg white,,,,,,,cocktail glass
whiskey toddy (cold),cocktail classics,1/2 oz,powdered sugar,2 oz,water,2 oz,blended whiskey,,,,,,,mug
kretchma cocktail,vodka,1 oz,vodka,1 oz,white creme de cacao,1/4 oz,fresh lemon juice,1/4 oz,grenadine,,,,,cocktail glass
whiskey skin,cocktail classics,1,lump of sugar,,boiling water,2 oz,blended whiskey,,lemon peel,,,,,punch cup
whiskey milk punch,cocktail classics,1 oz,powdered sugar,2 oz,blended whiskey,8 milk,,,,,,,,collins glass
katana,vodka,3 oz,cucumber slices,1 1/2 oz,vodka,1/2 oz,sake,3/4 oz,fresh lime juice,3/4 oz,simple syrup,1 oz,cucumber,cocktail glass
ethel duffy cocktail,brandy,3/4 oz,apricot-flavored brandy,3/4 oz,white creme de menthe,3/4 oz,triple sec,,,,,,,cocktail glass
daiquiri,cocktail classics,2 oz,light rum,3/4 oz,fresh lime juice,3/4 oz,simple syrup,,,,,,,cocktail glass
wembley cocktail,cocktail classics,3/4 oz,dry vermouth,1 1/2 oz,gin,1/4 oz,apricot-flavored brandy,1/2 oz,apple brandy,,,,,cocktail glass
weep-no-more cocktail,cocktail classics,1/2 oz,juice of a lime,3/4 oz,dubonnet,3/4 oz,brandy,1/4 oz,maraschino,,,,,cocktail glass
jungle juice,vodka,1 oz,vodka,1 oz,light rum,1/2 oz,triple sec,1 oz,"each cranberry juice, orange juice, pineapple juice, lemon juice",1 oz,simple syrup,,"orange wheel, maraschino cherry",collins glass
wedding belle cocktail,cocktail classics,1 1/2 oz,orange juice,1 1/2 oz,cherry-flavored brandy,3/4 oz,gin,3/4 oz,dubonnet,,,,,cocktail glass
waterloo,cocktail classics,1 oz,light rum,3 oz,orange juice,1/2 oz,mandarine napoleon liqueur,,,,,,,old-fashioned glass
waterbury cocktail,cocktail classics,1/2 oz,powdered sugar,1/4 oz,juice of a lemon,1 oz,egg white,1 1/2 oz,brandy,1/2 oz,grenadine,,,cocktail glass
washington cocktail,cocktail classics,1 1/2 oz,dry vermouth,3/4 oz,brandy,2 oz,bitters,1/2 oz,sugar syrup,,,,,cocktail glass
the jamaican ten speed,vodka,1 oz,vodka,3/4 oz,melon liqueur,1/4 oz,creme de banana,1/4 oz,coconut-flavored rum,1/2 oz,half-and-half,,,cocktail glass
twin six cocktail,cocktail classics,1 oz,gin,1/2 oz,sweet vermouth,1/4 oz,grenadine,1 oz,orange juice,1 oz,egg white,,,cocktail glass
jackie-o,vodka,for glass,"lime wedge, pink sanding sugar",1/2 oz,each citrus-flavored vodka and orange-flavored vodka,1/2 oz,creme de cassis,1 oz,apricot nectar,1/2 oz,each fresh lemon juice and cranberry juice,,"chilled champagne,  orange half-wheel, lime wheel",cocktail glass
tropical heart,cocktail classics,1 oz,hot shot tropical fruit liqueur,,hot apple cider,,,,,,,,,irish coffee glass
trois rivieres,cocktail classics,1 1/2 oz,canadian whisky,1 oz,dubonnet,1 1/2 oz,triple sec,,,,,,,old-fashioned glass
tovarich cocktail,cocktail classics,1 1/2 oz,vodka,3/4 oz,kummel,1/2 oz,juice of a lime,,,,,,,cocktail glass
italian screwdriver,vodka,for glass,"lime wedge, superfine sugar",1 1/2 oz,citrus-flavored vodka,3 oz,orange juice,2 oz,grapefruit juice,1 oz,ginger ale,,lime wheel,hurricane glass
t.n.t. cocktail no. 2,cocktail classics,1 oz,tequila,,tonic,,,,,,,,,old-fashioned glass
t.n.t. cocktail no. 1,cocktail classics,1 1/2 oz,blended whiskey,1 1/2 oz,anis,,,,,,,,,cocktail glass
ibiza,vodka,1 oz,orange-flavored vodka,1/2 oz,campari,1 oz,grapefruit juice,1 oz,pomegranate molasses,1 oz,peach schnapps,1 oz,"apple schnapps, grapefruit twist",cocktail glass
thunder,cocktail classics,1 oz,powdered sugar,1 oz,egg yolk,1 1/2 oz,brandy,1 oz,cayenne pepper,,,,,cocktail glass
huntsman cocktail,vodka,1 1/2 oz,vodka,1/2 oz,jamaica rum,1/2 oz,fresh lime juice,1/2 oz,simple syrup,,,,,cocktail glass
tequila fizz,cocktail classics,2 oz,tequila,3/4 oz,grenadine,1 oz,lemon juice,1 oz,egg white,,,,,collins glass
humpty dumpty,vodka,2 oz,vodka,1 oz,orange juice,1/2 oz,galliano,1 oz,whole egg,3 oz,peychaud's bitters,,,cocktail glass
tequila cocktail,cocktail classics,2 oz,tequila,1/2 oz,juice of a lemon,4 oz,grenadine,1 oz,egg white,,,,,cocktail glass
temptation cocktail,cocktail classics,1 1/2 oz,blended whiskey,1/2 oz,triple sec,1/2 oz,anis,1/2 oz,dubonnet,,,,,cocktail glass
tchoupitolas street guzzle,cocktail classics,1 oz,light rum,,ginger beer,,,,,,,,,highball glass
tahitian tea,cocktail classics,1/2 oz,gin,1/2 oz,light rum,1/2 oz,vodka,1/2 oz,hot shot tropical fruit liqueur,1 oz,7-up,1 oz,each cranberry juice and orange juice,highball glass
limey,cocktail classics,1 oz,light rum,1 oz,lime liqueur,1/2 oz,triple sec,2 oz,lime juice,,,,,champagne flute
headless horseman,vodka,2 oz,vodka,3 oz,angostura bitters,,ginger ale,orange wheel,,,,,,collins glass
love cocktail,cocktail classics,2 oz,sloe gin,1 oz,egg white,1/2 oz,lemon juice,1/2 oz,raspberry juice,,,,,cocktail glass
los angeles cocktail,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1 oz,whole egg,1/4 oz,sweet vermouth,1 1/2 oz,blended whiskey,,,sour glass
long island tea,cocktail classics,1/2 oz,vodka,1/2 oz,gin,1/2 oz,light rum,1/2 oz,tequila,1/2 oz,juice of a lemon,cola,,highball glass
harvey wallbanger,vodka,1 oz,vodka,4 oz,fresh orange juice,1/2 oz,galliano,,,,,,,collins glass
lime giant,cocktail classics,2 oz,lime vodka,,lemon-lime soda,,,,,,,,,collins glass
lil naue,cocktail classics,1 oz,brandy,1/2 oz,port,1/2 oz,apricot-flavored brandy,1 oz,powdered sugar,1 oz,egg yolk,,,red-wine glass
harrington,vodka,1 1/2 oz,vodka,1/4 oz,triple sec,1 oz,green chartreuse,orange zest,,,,,,cocktail glass
el profesor,brandy,1 oz,pisco,1/2 oz,punt e mes,1/2 oz,benedictine,2 oz,aromatic bitters,,lemon twist,,,old-fashioned glass
leap year cocktail,cocktail classics,1 1/4 oz,gin,1/2 oz,orange flavored gin,1/2 oz,sweet vermouth,1/4 oz,lemon juice,,,,,cocktail glass
lasky cocktail,cocktail classics,3/4 oz,grape juice,3/4 oz,swedish punch,3/4 oz,gin,,,,,,,cocktail glass
lady love fizz,cocktail classics,1 oz,powdered sugar,1/2 oz,juice of a lemon,1 oz,egg white,2 oz,gin,2 oz,light cream,,,cocktail glass
handball cooler,vodka,1 1/2 oz,vodka,,soda water,1/2 oz,orange juice,lime wedge,,,,,,highball glass
hyatt's jamaican banana,cocktail classics,1/2 oz,light rum,1/2 oz,white creme de cacao,1/2 oz,creme de banana,2 oz,vanilla ice cream,1 oz,half-and-half,1 oz,banana,brandy snifter
h.p.w. cocktail,cocktail classics,1 1/2 oz,dry vermouth,1 1/2 oz,sweet vermouth,1 1/2 oz,gin,,,,,,,cocktail glass
hot shot margarita,cocktail classics,2 oz,tequila,1 oz,hot shot tropical fruit liqueur,1 1/2 oz,lemon or lime juice,,,,,,,cocktail glass
the groupie,vodka,3 oz,lemon wedges,1/2 oz,superfine sugar,2 oz,citrus-flavored vodka,ginger beer,,,,,,old-fashioned glass
hot brandy flip,cocktail classics,1,whole egg,1 oz,powdered sugar,1 1/2 oz,brandy,hot milk,,,,,,mug
grape nehi,vodka,1 oz,vodka,1 oz,raspberry-flavored liqueur,1 oz,fresh lemon juice,,,,,,,cocktail glass
hole-in-one cocktai,cocktail classics,1 3/4 oz,scotch,3/4 oz,vermouth,1/4 oz,lemon juice,1 oz,orange bitters,,,,,cocktail glass
grapefruit gimlet royale,vodka,1 1/2 oz,vodka,1 oz,fresh grapefruit juice,1/4 oz,fresh lime juice,1/4 oz,simple syrup,2 oz,chilled champagne,,,cocktail glass
hair raiser,cocktail classics,1 1/2 oz,100-proof vodka,1/2 oz,rock and rye,1 oz,lemon juice,,,,,,,cocktail glass
godmother,vodka,1 1/2 oz,vodka,3/4 oz,amaretto,,,,,,,,,old-fashioned glass
green opal,cocktail classics,1/2 oz,gin,1/2 oz,anisette,1 oz,anis,,,,,,,cocktail glass
green hornet (dry),cocktail classics,2 oz,lime vodka,,lemon-lime soda,,,,,,,1 oz,powdered sugar,collins glass
green fizz,cocktail classics,1 oz,powdered sugar,1 oz,egg white,1/2 oz,juice of a lemon,2 oz,gin,1 oz,green creme de menthe,,,highball glass
godchild,vodka,1 oz,vodka,1 oz,amaretto,1 oz,heavy cream,,,,,,,cocktail glass
grape vodka froth,cocktail classics,1 1/2 oz,vodka,1 oz,grape juice,1 oz,egg white,1 oz,lemon juice,,,,,old-fashioned glass
grapefruit nog,cocktail classics,1 1/2 oz,brandy,1/2 oz,grapefruit juice,1 oz,lemon juice,1 oz,honey,1 oz,whole egg,,,collins glass
golden slipper,cocktail classics,3/4 oz,yellow chartreuse,2 oz,apricot-flavored brandy,,,,,,,,,cocktail glass
golden freindship,cocktail classics,,amaretto,,sweet vermouth,,light rum,,,,,,,collins glass
golden frappe,cocktail classics,1 oz,orange juice,2 oz,lemon juice,1 oz,sugar,1 oz,port,,,,,collins glass
glass tower,vodka,1 oz,vodka,1 oz,peach schnapps,1 oz,white rum,1 oz,triple sec,1/2 oz,sambuca,,"lime soda, orange wheel, maraschino cherry",collins glass
golden fizz,cocktail classics,1/2 oz,juice of a lemon,1/2 oz,powdered sugar,1 1/2 oz,gin,1 oz,egg yolk,,,,,highball glass
gloom lifter,cocktail classics,1 oz,blended whiskey,1/2 oz,brandy,1/2 oz,juice of a lemon,1 oz,raspberry syrup,1/2 oz,sugar,1/2 oz,egg white,highball glass
glogg,cocktail classics,2 750-ml,"wine (port, cream sherry, claret, burgundy, or madeira)",2 oz,dried orange peel,2 oz,cinnamon sticks,20 cardamom seeds,,25,cloves,,,punch cup
georgia peach,vodka,1 1/2 oz,vodka,1/2 oz,peach schnapps,1 oz,grenadine,lemonade,,,,,,collins glass
georgia mule,vodka,1 oz,"peach slice, skinned",1 1/2 oz,vodka,1/2 oz,fresh lemon juice,2 oz,peach bitters,,ginger beer,,peach slice,collins glass
gentle ben,vodka,1 oz,vodka,1 oz,gin,1 oz,blanco tequila,orange juice,,,"orange wheel, maraschino cherry",,,collins glass
east india cocktail no. 1,brandy,1 1/2 oz,brandy,1/2 oz,jamaica rum,1/2 oz,triple sec,1/2 oz,pineapple juice,1 oz,angostura bitters,,"lemon twist, maraschino cherry",cocktail glass
general harrison's eggnog,cocktail classics,1 oz,whole egg,1 oz,powdered sugar,,red wine,,,,,,,collins glass
gables collins,vodka,1 1/2 oz,vodka,1 oz,creme de noyaux,1/2 oz,fresh lemon juice,1/2 oz,pineapple juice,,soda water,,"lemon wheel, pineapple chunk",collins glass
frozen brandy and rum,cocktail classics,1 1/2 oz,brandy,1 oz,light rum,1 oz,lemon juice,1 oz,egg yolk,1 oz,powdered sugar,,,old-fashioned glass
frozen apple,cocktail classics,1 1/2 oz,applejack,1 oz,lime juice,1 oz,sugar,1/2 oz,egg white,,,,,old-fashioned glass
frisky witch,vodka,1 oz,vodka,1 oz,sambuca,,black licorice stick,,,,,,,old-fashioned glass
froth blower cocktail,cocktail classics,1 oz,egg white,2 oz,gin,1 oz,grenadine,,,,,,,cocktail glass
french martini,vodka,1 1/2 oz,vodka,3/4 oz,black raspberry liqueur,3/4 oz,pineapple juice,,,,,,,cocktail glass
flatiron martini,vodka,1 oz,splash triple sec,1 1/2 oz,orange-flavored vodka,1 1/2 oz,lillet blanc,orange wheel,,,,,,cocktail glass
favourite cocktail,cocktail classics,3/4 oz,apricot-flavored brandy,3/4 oz,dry vermouth,3/4 oz,lemon juice,1/4 oz,gin,,,,,cocktail glass
electric jam,vodka,1 1/4 oz,vodka,1/2 oz,blue curacao,1 oz,simple syrup,1 oz,fresh lemon juice,,lime soda,,,collins glass
fairy belle cocktail,cocktail classics,1 oz,egg white,1 oz,grenadine,3/4 oz,apricot-flavored brandy,1 1/2 oz,gin,,,,,cocktail glass
duke cocktail,cocktail classics,1/2 oz,triple sec,1 oz,orange juice,2 oz,lemon juice,1/2 oz,maraschino,1 oz,whole egg,,chilled champagne,champagne flute
dreamy dorini smoking martini,vodka,2 oz,vodka,1/2 oz,"smoky scotch, such as laphroaig",4 oz,pastis,lemon twist,,,,,,cocktail glass
dubonnet highball,cocktail classics,2 oz,dubonnet,,ginger ale,,carbonated water,twist of lemon,,,,,,highball glass
dubonnet fizz,cocktail classics,1/2 oz,juice of orange,1/4 oz,juice of a lemon,1 oz,cherry-flavored brandy,2 oz,dubonnet,,,,,highball glass
dubonnet cocktail,cocktail classics,1 1/2 oz,dubonnet,3/4 oz,gin,1 oz,orange bitters (if desired),,,,,,,cocktail glass
doctor cook,cocktail classics,3/4 oz,gin,1 oz,lemon juice,1 oz,maraschino,1 oz,egg white,,,,,red-wine glass
desert sunrise,vodka,1 1/4 oz,vodka,1 1/2 oz,fresh orange juice,1 1/2 oz,pineapple juice,1 oz,grenadine,,,,,collins glass
dillatini,cocktail classics,1 1/2 oz,gin,3/4 oz,dry vermouth,,,,,,,,,cocktail glass
devil's cocktail,cocktail classics,1/2 oz,lemon juice,1 1/2 oz,port,1 1/2 oz,dry vermouth,,,,,,,cocktail glass
derby fizz,cocktail classics,1/2 oz,juice of a lemon,1 oz,powdered sugar,1,whole egg,2 oz,scotch,1 oz,triple sec,,,highball glass
